,f1_height,f1_reach,f1_sapm,f1_slpm,f1_stance,f1_stracc,f1_strdef,f1_subavg,f1_tdacc,f1_tdavg,f1_tddef,f1_weight,f1_dob,f1_wins,f1_losses,f1_cumtime,f2_height,f2_reach,f2_sapm,f2_slpm,f2_stance,f2_stracc,f2_strdef,f2_subavg,f2_tdacc,f2_tdavg,f2_tddef,f2_weight,f2_dob,f2_wins,f2_losses,f2_cumtime
0,187.96,190.5,2.99,4.04,0.0,0.51,0.62,0.2,0.37,2.75,0.58,83.99000000000001,36.0,5.0,5.0,1795.0,180.34,182.88,5.38,5.99,0.0,0.52,0.5,0.0,0.33,0.92,1.0,93.07000000000001,36.0,2.0,1.0,381.0
0,185.42,187.96,6.77,5.46,0.0,0.48,0.45,0.5,0.0,0.0,0.3,93.07000000000001,34.0,2.0,5.0,1240.0,180.34,182.88,5.38,5.99,0.0,0.52,0.5,0.0,0.33,0.92,1.0,93.07000000000001,36.0,2.0,1.0,381.0
0,182.88,193.04,2.37,3.29,0.0,0.46,0.63,0.0,0.2,0.33,0.72,83.99000000000001,33.0,5.0,4.0,1514.0,180.34,182.88,5.38,5.99,0.0,0.52,0.5,0.0,0.33,0.92,1.0,93.07000000000001,36.0,2.0,1.0,381.0
0,180.34,184.567339234908,3.17,2.32,0.0,0.6,0.43,0.0,0.5,1.16,0.4,77.18,36.0,1.0,1.0,177.0,175.26,181.0005601796459,2.41,3.33,0.0,0.57,0.39,1.2,0.5,2.5,0.5,77.18,40.0,0.0,1.0,121.0
0,180.34,177.8,3.67,0.85,1.0,0.36,0.36,2.8,0.28,1.41,0.25,77.18,43.0,2.0,3.0,676.0,180.34,184.567339234908,3.17,2.32,0.0,0.6,0.43,0.0,0.5,1.16,0.4,77.18,36.0,1.0,1.0,177.0
0,182.88,187.96,2.64,3.05,0.0,0.59,0.56,1.3,0.43,2.55,0.25,83.99000000000001,46.0,11.0,6.0,3759.0,172.72,179.2171706520149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.07600000000001,46.0,0.0,1.0,477.0
0,193.04,203.2,1.79,3.78,0.0,0.6,0.63,1.1,0.65,1.62,0.76,120.31,37.0,27.0,12.0,7689.0,0.0,57.946682773104385,5.88,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,37.0,0.0,1.0,102.0
0,175.26,182.88,2.29,1.43,1.0,0.37,0.6,1.1,0.42,1.72,0.25,70.37,41.0,5.0,6.0,2823.0,172.72,179.2171706520149,2.77,2.62,0.0,0.23,0.58,0.0,1.0,1.19,0.0,77.18,37.0,0.0,3.0,457.0
0,185.42,190.5,2.63,4.44,0.0,0.38,0.66,0.3,0.43,1.1,0.64,83.99000000000001,38.0,23.0,7.0,6891.0,172.72,179.2171706520149,2.77,2.62,0.0,0.23,0.58,0.0,1.0,1.19,0.0,77.18,37.0,0.0,3.0,457.0
0,172.72,179.2171706520149,2.77,2.62,0.0,0.23,0.58,0.0,1.0,1.19,0.0,77.18,37.0,0.0,3.0,457.0,187.96,195.58,2.42,2.55,0.0,0.39,0.63,0.8,0.25,0.39,0.64,83.99000000000001,41.0,2.0,2.0,785.0
